_id,Proj ID,Department,Project_Name,Scope_Of_Work,PM_Department,Project_Status,Neighborhood,Authorization_Existing,Authorization_FY,Authorization_Future,OC_Existing,OC_FY,OC_Future,Grant_Existing,Grant_FY,Grant_Future,GO_Expended,Capital_Year_0,CapitalYear_1,Capital_Year_25,OC_Expended,OC_Year_0,OC_Year_1,OCYear_25,Grant_Expended,Grant_Year_0,Grant_Year_1,GrantYear_25,External_Funds,Total_Project_Budget
1,CCC25057,Boston Centers for Youth and Families,BCYF Allston Community Center,Develop building program and assess siting options for a new community center in Allston/Brighton.,Public Facilities Department,Study Underway,Allston / Brighton,4125000,0,5875000,0,0,0,0,0,0,102193,100000,200000,9597807,0,0,0,0,0,0,0,0,0,10000000
2,CCC25328,Boston Centers for Youth and Families,BCYF Curley Phase II,"Make repairs to the plumbing, floors, and replace the roof.",Property Management Department,In Design,South Boston,511400,3488600,0,0,0,0,0,0,0,34276,50000,1000000,2915724,0,0,0,0,0,0,0,0,0,4000000
3,CCC25165,Boston Centers for Youth and Families,BCYF Grove Hall Community Center,Design and construct a new community center in Grove Hall based on the recent programming study.,Public Facilities Department,In Construction,Dorchester,65000000,0,0,0,0,0,0,0,0,3159760,10000000,22000000,29840240,0,0,0,0,0,0,0,0,0,65000000
4,CCC25010,Boston Centers for Youth and Families,BCYF Grove Hall Community Center,"Repairs and renovations to the Center, including adding a splash pad, repairing the roof, and renovating the teen room.",Public Facilities Department,In Construction,Hyde Park,1000000,5000000,0,0,0,0,0,0,0,227395,50000,100000,5622605,0,0,0,0,0,0,0,0,0,6000000
5,CCC24755,Boston Centers for Youth and Families,BCYF North End Community Center,Design and construct a new North End Community Center.,Public Facilities Department,In Construction,North End,68600000,22000000,0,0,0,0,0,0,0,1362885,15000000,32000000,42237115,0,0,0,0,0,0,0,0,20000000,110600000
6,CCC24942,Boston Centers for Youth and Families,BCYF Security and Technology Upgrades,Improvements to technology infrastructure and security systems including cameras at all stand alone sites.,Boston Centers for Youth and Families,Implementation Underway,Citywide,2000000,0,0,0,0,0,0,0,0,0,200000,0,1800000,0,0,0,0,0,0,0,0,0,2000000
7,CCC25109,Boston Centers for Youth and Families,BCYF Tobin Community Center Improvements,"Renovations to the Tobin Community Center, including accessibility improvements and AC work in the gym space.",Public Facilities Department,In Construction,Mission Hill,4200000,0,0,0,0,0,0,0,0,38600,75000,1500000,2586400,0,0,0,0,0,0,0,0,0,4200000
8,CCC24941,Boston Centers for Youth and Families,BCYF Tobin Community Center Retaining Wall,Repair or replace the retaining wall adjacent to the BCYF Tobin Community Center.,Public Facilities Department,In Design,Mission Hill,1800000,0,0,0,0,0,0,0,0,85129,0,100000,1614871,0,0,0,0,0,0,0,0,0,1800000
9,CCC24930,Boston Centers for Youth and Families,Pool Repairs,"Renovate and upgrade locker rooms and pools including filtration systems, pool liners, and dehumidification and HVAC systems at various BCYF/BPS pool facilities.",Boston Centers for Youth and Families,Annual Program,Citywide,5000000,2000000,0,0,0,0,0,0,0,1717539,0,250000,5032461,0,0,0,0,0,0,0,0,0,7000000
10,CCC25068,Boston Centers for Youth and Families,Youth Budget Round 10,"With funds approved by the Mayors Youth Council, make improvements to shelter facilities and improve sport and active recreation facilities.",Youth Engagement and Advancement,Implementation Underway,Citywide,1000000,0,0,0,0,0,0,0,0,0,50000,500000,450000,0,0,0,0,0,0,0,0,0,1000000
11,CCC24658,Boston Centers for Youth and Families,Youth Budget Round 5,"With funds approved by the Mayors Youth Council, make HVAC improvements in schools, recommission solar panels on two buildings, and improve teen spaces at Hyde Park Community Center.",Youth Engagement and Advancement,Implementation Underway,Citywide,1000000,0,0,0,0,0,0,0,0,0,50000,500000,450000,0,0,0,0,0,0,0,0,0,1000000
12,CCC24756,Boston Centers for Youth and Families,Youth Budget Round 6,"With funds approved by the Mayors Youth Council, make improvements to park and active recreational facilities across the city.",Youth Engagement and Advancement,Implementation Underway,Citywide,1000000,0,0,0,0,0,0,0,0,667798,50000,282202,0,0,0,0,0,0,0,0,0,0,1000000
13,CCC24819,Boston Centers for Youth and Families,Youth Budget Round 7,"With funds approved by the Mayors Youth Council, increase street tree planting, support an MOH managed community garden, and make improvements at the Woods Mullen Shelter.",Youth Engagement and Advancement,Implementation Underway,Citywide,1000000,0,0,0,0,0,0,0,0,0,50000,500000,450000,0,0,0,0,0,0,0,0,0,1000000
14,CCC24943,Boston Centers for Youth and Families,Youth Budget Round 8,"With funds approved by the Mayors Youth Council, make improvements to courts and other active recreational facilities around the city.",Youth Engagement and Advancement,Implementation Underway,Citywide,1000000,0,0,0,0,0,0,0,0,0,50000,500000,450000,0,0,0,0,0,0,0,0,0,1000000
15,CCC25002,Boston Centers for Youth and Families,Youth Budget Round 9,"With funds approved by the Mayors Youth Council, make improvements to shelter facilities in the city.",Youth Engagement and Advancement,Implementation Underway,Citywide,1000000,0,0,0,0,0,0,0,0,0,50000,500000,450000,0,0,0,0,0,0,0,0,0,1000000
16,CPH24914,Public Health Commission,EMS Radio System Upgrades,Design and implement upgrades to the EMS radio system.,Public Health Commission,Implementation Underway,Citywide,23215000,0,0,0,0,0,0,0,0,14204845,500000,500000,8010155,0,0,0,0,0,0,0,0,0,23215000
17,CPH24825,Public Health Commission,EMS Seaport Station,Design and construction of a new EMS station.,Public Facilities Department,In Construction,South Boston,16000000,0,0,0,0,0,0,0,0,3083366,9000000,3916634,0,0,0,0,0,0,0,0,0,0,16000000
18,CPH25189,Public Health Commission,Franklin Park Ambulance Station,Study for new Boston EMS station within Franklin Park.,Public Facilities Department,To Be Scheduled,Roxbury,200000,0,0,0,0,0,0,0,0,0,0,0,200000,0,0,0,0,0,0,0,0,0,200000
19,CPH24919,Public Health Commission,Long Island Facility Preservation,Repair and upkeep of buildings on Long Island that may be utilized in the development of the recovery campus.,Public Facilities Department,In Construction,Harbor Islands,38220000,0,0,0,0,0,0,0,0,9536907,3500000,2000000,23183093,0,0,0,0,0,0,0,0,0,38220000
20,CPH24920,Public Health Commission,Long Island Recovery Campus,Renovate existing buildings on Long Island to support the creation of a recovery campus.,Public Facilities Department,To Be Scheduled,Harbor Islands,2000000,0,0,0,0,0,0,0,0,92543,0,0,1907457,0,0,0,0,0,0,0,0,0,2000000
21,CPH25107,Public Health Commission,Northampton Square Garage,Structural and other repairs as needed.,Public Facilities Department,In Construction,Roxbury,11580000,0,0,0,0,0,0,0,0,271724,100000,3400000,7808276,0,0,0,0,0,0,0,0,0,11580000
22,CLD25359,Boston Public Library,Brighton Library Roof,Replace the roof at the Brighton Library.,Public Facilities Department,In Design,Allston / Brighton,1200000,0,0,0,0,0,0,0,0,0,50000,700000,450000,0,0,0,0,0,0,0,0,0,1200000
23,CLD25332,Boston Public Library,Central Library Roof & HVAC Repairs,Replacement of the Central Library's Ventilation Air-Handling Units and Hydronic Pumps.,Public Facilities Department,In Design,Back Bay,6000000,0,0,0,0,0,0,0,0,0,50000,750000,5200000,0,0,0,0,0,0,0,0,0,6000000
24,CLD25190,Boston Public Library,Central Library: McKim Master Plan,Initial design and study of implementation of the McKim Master Plan.,Public Facilities Department,To Be Scheduled,Back Bay,1000000,0,49000000,0,0,0,0,0,0,0,0,0,50000000,0,0,0,0,0,0,0,0,0,50000000
25,CLD24879,Boston Public Library,Chinatown Branch Library,Design and construct a new branch library that supports the needs of the neighborhood and reflects the Boston Public Library's Compass Principles.,Public Facilities Department,In Construction,Chinatown,32000000,0,0,0,0,0,0,0,0,678945,1600000,350000,29371055,0,0,0,0,0,0,0,0,0,32000000
26,CLD25102,Boston Public Library,Connolly Branch Library,"Upgrade and replace mechanical systems, windows, roof, and waterproof façade. Assess space programming.",Public Facilities Department,To Be Scheduled,Jamaica Plain,575000,0,0,0,0,0,0,0,0,90650,0,0,484350,0,0,0,0,0,0,0,0,0,575000
27,CLD25100,Boston Public Library,Egleston Square Branch Library,Design and construct a new branch library that supports the needs of the neighborhood and reflects the Boston Public Library's Compass Principles.,Public Facilities Department,In Design,Roxbury,31510000,0,0,0,0,0,0,0,0,1591402,200000,5000000,24718598,0,0,0,0,0,0,0,0,0,31510000
28,CLD24520,Boston Public Library,Fields Corner Branch Library,Design and construct a new branch library that supports the needs of the neighborhood and reflects the Boston Public Library's Compass Principles.,Public Facilities Department,In Construction,Dorchester,30900000,0,0,0,0,0,0,0,0,2938403,20000000,3000000,4961597,0,0,0,0,0,0,0,0,0,30900000
29,CLD25103,Boston Public Library,Hyde Park Branch Library,"Upgrade boiler, windows, roof, and façade repairs. Assess space programming.",Public Facilities Department,To Be Scheduled,Hyde Park,500000,0,0,0,0,0,0,0,0,82569,0,0,417431,0,0,0,0,0,0,0,0,0,500000
